price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Panelprogram,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,Parkolóhely ára
64.4,"XIV. kerület, Cházár András utca ",50.0,2.0,0,5.0,újszerű,2001 és 2010 között,|nincs megadva|,1,7,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,|nincs megadva|,12 000  Ft/hó,26 913  Ft/hó,külön és egyben is,északnyugat,kertre néz,5 m|2|,nem,|nincs megadva|,,"utca, közterület - fizetős övezet",házközponti egyedi méréssel,van,CC,
58.0,"XIV. kerület, Alsórákos ",50.0,2.0,0,6.0,újszerű,2001 és 2010 között,összkomfortos,2,3,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,10 000  Ft/hó,egy helyiségben,nyugat,kertre néz,6 m|2|,|nincs megadva|,nem tetőtéri,,"utca, közterület",gázkazán,van - 10 cm,|nincs megadva|,
39.9,"XIV. kerület, Szederkény utca ",47.0,2.0,0,5.0,felújítandó,2001 és 2010 között,összkomfortos,földszint,2,nincs,3 m-nél alacsonyabb,nincs,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 500  Ft/hó,egy helyiségben,dél,kertre néz,5 m|2|,|nincs megadva|,nem tetőtéri,,teremgarázs hely - megvásárolható,gázkazán,|nincs megadva|,|nincs megadva|,3 M Ft
36.9,"XIV. kerület, Törökőr ",36.0,1.0,0,,felújított,1950 és 1980 között,összkomfortos,félemelet,3,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,18 000  Ft/hó,|nincs megadva|,délnyugat,utcai,|nincs megadva|,igen,|nincs megadva|,,"utca, közterület",|nincs megadva|,|nincs megadva|,|nincs megadva|,
52.9,"XIV. kerület, Alsórákos ",47.0,2.0,0,3.0,felújított,1981 és 2000 között,összkomfortos,1,3,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,28 000  Ft/hó,10 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,3 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
68.9,"XIV. kerület, Istvánmező ",96.0,4.0,0,8.0,közepes állapotú,1981 és 2000 között,összkomfortos,2,5,van,3 m-nél magasabb,van,igen,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,18  Ft/hó,külön helyiségben,északkelet,utcai,8 m|2|,nem,nem tetőtéri,,|nincs megadva|,gázkazán,nincs,|nincs megadva|,
99.9,"XIV. kerület, Alsórákos ",77.0,3.0,0,12.0,|nincs megadva|,2023,összkomfortos,1,2,nincs,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000 000  Ft/hó,|nincs megadva|,külön és egyben is,dél,|nincs megadva|,12 m|2|,|nincs megadva|,|nincs megadva|,,önálló garázs,"gázkazán, hűtő-fűtő klíma",van - 15 cm,|nincs megadva|,
54.2,"XIV. kerület, Kaffka Margit utca ",56.0,1.0,2.0,,felújított,2001 és 2010 között,duplakomfortos,4,4,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,50 m|3|/hó,50 kWh/hó,16 000  Ft/hó,16 500  Ft/hó,külön és egyben is,nyugat,panorámás,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet","gázkazán, hűtő-fűtő klíma",van - 5 cm,|nincs megadva|,
78.3,"XIV. kerület, Egressy út ",109.0,4.0,2.0,,jó állapotú,1981 és 2000 között,duplakomfortos,3,3,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,utcai,|nincs megadva|,nem,zárószint,,önálló garázs - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,
78.39,"XIV. kerület, Nagy Lajos király útja ",109.0,2.0,4.0,,felújított,|nincs megadva|,duplakomfortos,3,3,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,teremgarázs hely,gázkazán,|nincs megadva|,|nincs megadva|,
61.5,"XIV. kerület, Szentmihályi út ",68.0,3.0,0,3.5,felújított,1950 és 1980 között,összkomfortos,6,10,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,kertre néz,3.5 m|2|,nem,nem tetőtéri,|nincs megadva|,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,
175.0,"XIV. kerület, Abonyi utca ",152.0,4.0,0,3.0,jó állapotú,1950 előtt,duplakomfortos,félemelet,földszintes,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,dél,utcai,3 m|2|,|nincs megadva|,|nincs megadva|,,udvari beálló - benne van az árban,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
51.5,"XIV. kerület, Ungvár utca ",58.0,2.0,0,5.0,közepes állapotú,1950 és 1980 között,|nincs megadva|,3,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 000  Ft/hó,|nincs megadva|,délnyugat,kertre néz,5 m|2|,|nincs megadva|,,,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,
36.9,"XIV. kerület, Kalapács utca ",42.0,1.0,1.0,3.0,felújítandó,|nincs megadva|,összkomfortos,1,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 000  Ft/hó,|nincs megadva|,|nincs megadva|,utcai,3 m|2|,nem,nem tetőtéri,,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,
68.9,"XIV. kerület, Miskolci utca ",75.0,3.0,0,,jó állapotú,1981 és 2000 között,komfortos,földszint,|nincs megadva|,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,6 500  Ft/hó,|nincs megadva|,dél,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,
130.0,"XIV. kerület, Bartl János utca ",107.0,4.0,0,50.0,|nincs megadva|,2022,|nincs megadva|,4,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,udvari,50 m|2|,nem,nem tetőtéri,,teremgarázs hely - megvásárolható,|nincs megadva|,|nincs megadva|,|nincs megadva|,6 M Ft
65.0,"XIV. kerület, Törökőr ",49.0,2.0,0,3.0,felújított,2001 és 2010 között,|nincs megadva|,2,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,észak,|nincs megadva|,3 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,házközponti,|nincs megadva|,|nincs megadva|,
99.0,"XIV. kerület, Törökőr ",125.0,4.0,0,10.0,felújított,1981 és 2000 között,duplakomfortos,2,2,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,kertre néz,10 m|2|,nem,tetőtéri,,|nincs megadva|,hőszivattyú,van - 30 cm,|nincs megadva|,
71.5,"XIV. kerület, Dorozsmai utca ",51.0,2.0,0,6.0,felújított,2018,összkomfortos,1,7,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,egy helyiségben,kelet,kertre néz,6 m|2|,nem,nem tetőtéri,,teremgarázs hely - megvásárolható,házközponti egyedi méréssel,van,|nincs megadva|,"7,50 M Ft"
84.9,"XIV. kerület, Istvánmező ",103.0,4.0,0,8.0,jó állapotú,1950 előtt,duplakomfortos,2,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,24 000  Ft/hó,|nincs megadva|,|nincs megadva|,északkelet,utcai,8 m|2|,|nincs megadva|,|nincs megadva|,,"utca, közterület",|nincs megadva|,|nincs megadva|,|nincs megadva|,
43.9,"XIV. kerület, Csertő park ",55.0,2.0,0,7.0,felújított,1981 és 2000 között,összkomfortos,10 felett,több mint 10,van,3 m-nél alacsonyabb,nincs,igen,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,13 750  Ft/hó,egy helyiségben,kelet,utcai,7 m|2|,nem,nem tetőtéri,nem vett részt,"utca, közterület",távfűtés,nincs,|nincs megadva|,
57.5,"XIV. kerület, Nagy Lajos király útja ",68.0,4.0,0,,jó állapotú,1950 és 1980 között,|nincs megadva|,1,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északkelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
36.5,"XIV. kerület, Rákosfalva park ",55.0,2.0,0,7.8,jó állapotú,1950 és 1980 között,összkomfortos,10,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,utcai,7.8 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,
30.9,"XIV. kerület, Alsórákos ",28.0,1.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
135.0,"XIV. kerület, Alsórákos ",118.0,5.0,0,20.0,újszerű,2001 és 2010 között,duplakomfortos,2,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,egy helyiségben,dél,kertre néz,20 m|2|,|nincs megadva|,|nincs megadva|,,teremgarázs hely - benne van az árban,gázkazán,van,|nincs megadva|,
40.9,"XIV. kerület, Paskál-malom utca ",49.0,2.0,0,,felújítandó,1950 és 1980 között,összkomfortos,földszint,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,kelet,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,
33.0,"XIV. kerület, Fűrész utca ",36.0,2.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,földszint,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 000  Ft/hó,egy helyiségben,délnyugat,kertre néz,|nincs megadva|,igen,|nincs megadva|,,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,
119.9,"XIV. kerület, Alsórákos ",80.0,3.0,0,12.6,|nincs megadva|,2023,összkomfortos,1,3,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,kertre néz,12.6 m|2|,|nincs megadva|,|nincs megadva|,,teremgarázs hely - megvásárolható,hőszivattyú,|nincs megadva|,|nincs megadva|,5 M Ft
23.9,"XIV. kerület, Istvánmező ",40.0,1.0,0,,közepes állapotú,1950 előtt,|nincs megadva|,szuterén,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délkelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
94.5,"XIV. kerület, Gyarmat utca ",69.0,1.0,2.0,11.4,újszerű,2001 és 2010 között,összkomfortos,3,3,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,kertre néz,11.4 m|2|,|nincs megadva|,|nincs megadva|,,teremgarázs hely - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,
49.8,"XIV. kerület, Törökőr ",51.0,2.0,0,4.0,jó állapotú,2001 és 2010 között,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,|nincs megadva|,4 m|2|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,AA+,
89.9,"XIV. kerület, Cinkotai út ",94.0,4.0,0,4.2,jó állapotú,1981 és 2000 között,duplakomfortos,3,4,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,23 000  Ft/hó,|nincs megadva|,délnyugat,udvari,4.2 m|2|,nem,nem tetőtéri,,teremgarázs hely - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,
104.99,"XIV. kerület, Alsórákos ",77.0,4.0,0,18.0,újszerű,2022,összkomfortos,3,3,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,10 kWh/hó,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,kertre néz,18 m|2|,igen,|nincs megadva|,,teremgarázs hely - kötelező megvenni,"hőszivattyú, mennyezeti hűtés-fűtés",van - 10 cm,BB,|nincs megadva|
46.9,"XIV. kerület, Horvát Boldizsár utca ",53.0,2.0,0,4.0,felújított,1950 és 1980 között,összkomfortos,2,5,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,19  Ft/hó,egy helyiségben,nyugat,utcai,4 m|2|,nem,nem tetőtéri,,"utca, közterület - ingyenes",távfűtés egyedi méréssel,nincs,|nincs megadva|,
47.0,"XIV. kerület, Besnyői utca ",51.0,3.0,0,2.0,felújított,1950 és 1980 között,összkomfortos,1,5,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,29 000  Ft/hó,külön helyiségben,dél,utcai,2 m|2|,nem,nem tetőtéri,,udvari beálló - bérelhető,házközponti,|nincs megadva|,EE,|nincs megadva|
33.9,"XIV. kerület, Rákosfalva park ",55.0,2.0,0,10.0,közepes állapotú,|nincs megadva|,összkomfortos,10 felett,több mint 10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 700  Ft/hó,|nincs megadva|,dél,panorámás,10 m|2|,nem,|nincs megadva|,|nincs megadva|,"utca, közterület",távfűtés,|nincs megadva|,|nincs megadva|,
72.0,"XIV. kerület, Fűrész utca ",77.0,3.0,0,4.0,közepes állapotú,1981 és 2000 között,összkomfortos,1,4,|nincs megadva|,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,utcai,4 m|2|,|nincs megadva|,|nincs megadva|,,teremgarázs hely - kötelező megvenni,gázkazán,|nincs megadva|,|nincs megadva|,6 M Ft
75.9,"XIV. kerület, Angol utca ",95.0,3.0,0,5.0,jó állapotú,|nincs megadva|,félkomfortos,1,4,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,19 000  Ft/hó,külön helyiségben,délkelet,utcai,5 m|2|,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet","gáz (konvektor), hűtő-fűtő klíma, infrafűtés",|nincs megadva|,|nincs megadva|,
34.9,"XIV. kerület, Gvadányi utca ",35.0,1.0,1.0,,jó állapotú,1981 és 2000 között,összkomfortos,2,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 000  Ft/hó,egy helyiségben,|nincs megadva|,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,részt vett,"utca, közterület - ingyenes",távfűtés egyedi méréssel,van,|nincs megadva|,
21.99,"XIV. kerület, Alsórákos ",27.0,1.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,félemelet,földszintes,nincs,|nincs megadva|,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület",gázkazán,nincs,|nincs megadva|,
112.9,"XIV. kerület, Alsórákos ",115.0,3.0,0,6.0,|nincs megadva|,2022,összkomfortos,|nincs megadva|,2,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,kertre néz,6 m|2|,|nincs megadva|,tetőtéri,,önálló garázs - kötelező megvenni,"mennyezeti hűtés-fűtés, hőszivattyú",van,|nincs megadva|,5 M Ft
46.9,"XIV. kerület, Miskolci utca ",54.0,2.0,0,7.5,felújított,1950 és 1980 között,összkomfortos,félemelet,2,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,külön helyiségben,délkelet,udvari,7.5 m|2|,|nincs megadva|,nem tetőtéri,,teremgarázs hely - benne van az árban,elektromos kazán,nincs,|nincs megadva|,
37.89,"XIV. kerület, Thököly út ",43.0,1.0,1.0,1.0,közepes állapotú,1950 és 1980 között,összkomfortos,3,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 200  Ft/hó,egy helyiségben,északnyugat,utcai,1 m|2|,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet",gáz (konvektor),nincs,|nincs megadva|,
45.0,"XIV. kerület, Miskolci utca ",56.0,2.0,0,,közepes állapotú,|nincs megadva|,összkomfortos,1,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kertre néz,|nincs megadva|,igen,|nincs megadva|,,"utca, közterület",cserépkályha,van - 14 cm,|nincs megadva|,
74.9,"XIV. kerület, Nagy Lajos király útja ",82.0,3.0,0,6.0,jó állapotú,|nincs megadva|,|nincs megadva|,2,3,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,24 000  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,6 m|2|,|nincs megadva|,|nincs megadva|,,udvari beálló - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,
44.5,"XIV. kerület, Angol utca 48.",44.0,2.0,0,5.4,jó állapotú,2011,összkomfortos,4,4,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,100 kWh/hó,20 000  Ft/hó,15 180  Ft/hó,külön helyiségben,délkelet,udvari,5.4 m|2|,nem,"legfelső emelet, nem tetőtéri",,teremgarázs hely - megvásárolható,"házközponti egyedi méréssel, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,7 M Ft
48.9,"XIV. kerület, Nagy Lajos király útja ",55.0,3.0,0,,felújított,1950 előtt,|nincs megadva|,2,4,|nincs megadva|,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,
46.9,"XIV. kerület, Csáktornya park ",67.0,3.0,0,6.95,közepes állapotú,1950 és 1980 között,összkomfortos,5,10,van,3 m-nél alacsonyabb,nincs,nem,3 m|3|/hó,100 kWh/hó,20 000  Ft/hó,20 000  Ft/hó,külön helyiségben,kelet,panorámás,6.95 m|2|,nem,,,"utca, közterület - ingyenes",távfűtés,van - 3 cm,|nincs megadva|,
32.9,"XIV. kerület, Csertő park 4.",33.0,1.0,0,4.0,felújított,|nincs megadva|,|nincs megadva|,10 felett,több mint 10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,6 900  Ft/hó,egy helyiségben,|nincs megadva|,panorámás,4 m|2|,|nincs megadva|,,,"utca, közterület",távfűtés,|nincs megadva|,|nincs megadva|,
75.5,"XIV. kerület, Nagy Lajos király útja 212.",80.0,4.0,0,6.0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,kertre néz,6 m|2|,nem,|nincs megadva|,,|nincs megadva|,házközponti egyedi méréssel,van - 10 cm,|nincs megadva|,
54.9,"XIV. kerület, Mexikói út ",69.0,3.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,földszint,3,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,kertre néz,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,
