price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Parkolóhely ára
33.9,"VII. kerület, Jósika utca ",44.0,2.0,0,felújítandó,1950 előtt,összkomfortos,1,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 500  Ft/hó,|nincs megadva|,|nincs megadva|,nyugat,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,,
45.9,"VII. kerület, Rákóczi út ",52.0,1.0,0,jó állapotú,|nincs megadva|,összkomfortos,2,6,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,
67.8,"VII. kerület, Király utca ",82.0,2.0,0,jó állapotú,1950 előtt,összkomfortos,2,2,nincs,3 m-nél magasabb,nincs,130 m|3|/hó,200 kWh/hó,28 000  Ft/hó,16  Ft/hó,nem,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,udvari beálló - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,,
99.2,"VII. kerület, Király utca ",83.0,2.0,1.0,jó állapotú,1950 és 1980 között,összkomfortos,1,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,35 000  Ft/hó,23  Ft/hó,|nincs megadva|,külön helyiségben,délnyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,,
34.0,"VII. kerület, Dob utca ",36.0,1.0,0,jó állapotú,1950 előtt,összkomfortos,földszint,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 960  Ft/hó,nem,egy helyiségben,délkelet,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
34.0,"VII. kerület, Dob utca ",36.0,1.0,0,jó állapotú,1950 előtt,összkomfortos,földszint,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 960  Ft/hó,nem,egy helyiségben,délkelet,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
69.5,"VII. kerület, Munkás utca ",73.0,2.0,1.0,jó állapotú,1950 előtt,összkomfortos,1,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,23 000  Ft/hó,nem,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,nincs,|nincs megadva|,,
47.9,"VII. kerület, Marek József utca ",41.0,2.0,1.0,felújított,|nincs megadva|,összkomfortos,földszint,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",egyéb,|nincs megadva|,|nincs megadva|,,
35.0,"VII. kerület, Dohány utca ",26.0,1.0,1.0,felújított,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,nyugat,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",|nincs megadva|,|nincs megadva|,|nincs megadva|,,
42.9,"VII. kerület, Damjanich utca ",43.0,2.0,0,jó állapotú,1950 és 1980 között,összkomfortos,1,6,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,|nincs megadva|,|nincs megadva|,nyugat,kertre néz,3 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,házközponti,|nincs megadva|,|nincs megadva|,3.0,
79.9,"VII. kerület, Dohány utca 22.",74.0,2.0,0,felújított,1950 előtt,összkomfortos,2,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 400  Ft/hó,igen,egy helyiségben,délnyugat,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,,
29.9,"VII. kerület, Rottenbiller utca ",42.0,1.0,0,felújított,|nincs megadva|,|nincs megadva|,földszint,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,"elektromos fűtőpanel, hűtő-fűtő klíma, kandalló",|nincs megadva|,|nincs megadva|,,
49.8,"VII. kerület, Klauzál tér ",71.0,2.0,0,felújítandó,|nincs megadva|,összkomfortos,1,3,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
49.9,"VII. kerület, Szövetség utca 43.",40.0,2.0,0,felújított,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,van,45 m|3|/hó,105 kWh/hó,7 000  Ft/hó,10 620  Ft/hó,nem,egy helyiségben,északnyugat,udvari,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet","gázkazán, hűtő-fűtő klíma",nincs,|nincs megadva|,,
89.0,"VII. kerület, Murányi utca 61.",129.0,3.0,1.0,jó állapotú,|nincs megadva|,összkomfortos,félemelet,4,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,,
48.0,"VII. kerület, Péterfy Sándor utca 15.",60.0,2.0,0,jó állapotú,1950 előtt,összkomfortos,1,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,31 000  Ft/hó,15 000  Ft/hó,nem,külön helyiségben,délnyugat,|nincs megadva|,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet","elektromos konvektor, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,,
138.0,"VII. kerület, Erzsébet körút ",106.0,4.0,0,felújított,2001 és 2010 között,duplakomfortos,4,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 500  Ft/hó,nem,|nincs megadva|,nyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,"gázkazán, hűtő-fűtő klíma, kandalló",|nincs megadva|,|nincs megadva|,,
35.0,"VII. kerület, Hársfa utca ",38.0,1.0,0,közepes állapotú,|nincs megadva|,félkomfortos,földszint,4,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,22 000  Ft/hó,8 000  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",gáz (konvektor),nincs,|nincs megadva|,,
41.9,"VII. kerület, Damjanich utca 45.",63.0,1.0,3.0,felújított,1950 előtt,összkomfortos,földszint,4,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 760  Ft/hó,nem,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,nincs,|nincs megadva|,,
65.0,"VII. kerület, Murányi utca ",77.0,2.0,0,felújított,|nincs megadva|,összkomfortos,2,4,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,|nincs megadva|,külön helyiségben,délnyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület",gázkazán,van,|nincs megadva|,,
109.0,"VII. kerület, Bethlen Gábor utca ",78.0,3.0,0,felújított,|nincs megadva|,luxus,2,4,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,"gázkazán, padlófűtés, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,,
350.0,"VII. kerület, Akácfa utca 60.",263.0,13.0,0,újszerű,|nincs megadva|,összkomfortos,1,4,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,"gázkazán, gáz (konvektor), elektromos konvektor",|nincs megadva|,|nincs megadva|,,
300.0,"VII. kerület, Rumbach Sebestyén utca 10.",240.0,12.0,0,újszerű,|nincs megadva|,összkomfortos,1,4,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,"gázkazán, elektromos konvektor, gáz (konvektor)",|nincs megadva|,|nincs megadva|,,
55.9,"VII. kerület, Király utca ",61.0,2.0,1.0,felújított,1950 előtt,összkomfortos,2,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,13 000  Ft/hó,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,"elektromos fűtőpanel, gáz (konvektor)",|nincs megadva|,|nincs megadva|,,
39.5,"VII. kerület, Peterdy utca 29.",42.0,1.0,0,felújított,1950 előtt,összkomfortos,földszint,3,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,1 kWh/hó,|nincs megadva|,|nincs megadva|,nem,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,igen,|nincs megadva|,"utca, közterület - fizetős övezet",elektromos fűtőpanel,nincs,|nincs megadva|,,
49.9,"VII. kerület, Verseny utca ",35.0,1.0,0,felújított,1950 előtt,összkomfortos,3,4,nincs,3 m-nél magasabb,van,23 m|3|/hó,200 kWh/hó,11 000  Ft/hó,13 500  Ft/hó,nem,egy helyiségben,dél,panorámás,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gáz (konvektor),nincs,|nincs megadva|,,
35.9,"VII. kerület, Szinva utca ",31.0,1.0,0,újszerű,1950 előtt,|nincs megadva|,félemelet,3,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,|nincs megadva|,egy helyiségben,délkelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,
32.9,"VII. kerület, Hevesi Sándor tér ",29.0,1.0,0,felújított,1950 előtt,|nincs megadva|,földszint,3,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,6 500  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,,
39.9,"VII. kerület, Baross tér 18.",38.0,1.0,1.0,felújított,|nincs megadva|,összkomfortos,félemelet,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,6 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,"hűtő-fűtő klíma, elektromos fűtőpanel, padlófűtés",|nincs megadva|,|nincs megadva|,6.0,
