price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,Panelprogram
99.7,"III. kerület, Pusztakúti út 12.",75.0,3.0,0,13.0,új építésű,2022,duplakomfortos,2,3,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,északkelet,kertre néz,13 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van - 15 cm,BB,
105.6,"III. kerület, Pusztakúti út 12.",79.0,3.0,0,20.55,új építésű,2022,duplakomfortos,1,3,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,kertre néz,20.55 m|2|,|nincs megadva|,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van - 15 cm,BB,
67.9,"II. kerület, Fillér utca ",63.0,3.0,0,,jó állapotú,1981 és 2000 között,összkomfortos,3,8,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,36 000  Ft/hó,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,udvari beálló - benne van az árban,,"gázkazán, házközponti, házközponti egyedi méréssel",van,|nincs megadva|,
58.85,"III. kerület, Pünkösdfürdő utca 42-46.",45.0,2.0,0,4.0,új építésű,2023,összkomfortos,2,8,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,nyugat,utcai,4 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,5 M Ft,hőszivattyú,|nincs megadva|,|nincs megadva|,
106.0,"I. kerület, Naphegy utca 36.",88.0,3.0,1.0,,közepes állapotú,1950 előtt,összkomfortos,földszint,4,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,külön és egyben is,északkelet,kertre néz,|nincs megadva|,igen,nem tetőtéri,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,
99.9,"III. kerület, Királylaki út ",131.0,4.0,0,12.0,jó állapotú,1981 és 2000 között,duplakomfortos,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,panorámás,12 m|2|,igen,|nincs megadva|,udvari beálló - benne van az árban,,"gázkazán, padlófűtés",|nincs megadva|,|nincs megadva|,
54.9,"II. kerület, Cimbalom utca ",49.0,1.0,1.0,,közepes állapotú,|nincs megadva|,|nincs megadva|,félemelet,3,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,önálló garázs - megvásárolható,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
299.0,"II. kerület, Endrődi Sándor utca ",180.0,6.0,0,27.0,jó állapotú,1981 és 2000 között,duplakomfortos,földszint,4,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,27 000  Ft/hó,külön helyiségben,délnyugat,panorámás,27 m|2|,igen,nem tetőtéri,"utca, közterület - ingyenes",,gázkazán,|nincs megadva|,|nincs megadva|,
99.9,"III. kerület, Karácsony Sándor utca ",78.0,3.0,0,7.0,újszerű,2001 és 2010 között,összkomfortos,földszint,2,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,18 000  Ft/hó,külön helyiségben,dél,kertre néz,7 m|2|,igen,|nincs megadva|,udvari beálló - kötelező megvenni,|nincs megadva|,gázkazán,van,|nincs megadva|,
52.9,"III. kerület, Kalap utca ",52.0,2.0,0,4.0,felújított,1981 és 2000 között,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 000  Ft/hó,külön helyiségben,délkelet,kertre néz,4 m|2|,|nincs megadva|,nem tetőtéri,udvari beálló,,gázkazán,|nincs megadva|,|nincs megadva|,
119.2,"III. kerület, Pusztakúti út 12.",86.0,4.0,0,18.26,új építésű,2022,duplakomfortos,1,3,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,panorámás,18.26 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van - 15 cm,BB,
61.9,"II. kerület, Varsányi Irén utca ",62.0,2.0,0,4.0,közepes állapotú,1950 és 1980 között,összkomfortos,1,5,van,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,udvari,4 m|2|,nem,nem tetőtéri,"utca, közterület",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
67.1,"III. kerület, Pünkösdfürdő utca ",62.0,3.0,0,6.51,új építésű,2023,duplakomfortos,1,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,utcai,6.51 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
39.0,"III. kerület, Velence utca ",36.0,1.0,0,,újszerű,1950 és 1980 között,összkomfortos,1,4,nincs,|nincs megadva|,nincs,nem,|nincs megadva|,|nincs megadva|,12 000  Ft/hó,11 000  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,
93.89,"II. kerület, Széher út ",58.0,2.0,0,5.0,újszerű,1981 és 2000 között,luxus,2,2,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,85 m|3|/hó,110 kWh/hó,|nincs megadva|,13 900  Ft/hó,külön helyiségben,|nincs megadva|,panorámás,5 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,
39.9,"III. kerület, Selmeci utca ",34.0,1.0,1.0,,felújított,1950 előtt,összkomfortos,1,2,nincs,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,egy helyiségben,nyugat,udvari,|nincs megadva|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
179.0,"III. kerület, Kolostor út ",145.0,4.0,0,8.0,felújított,|nincs megadva|,duplakomfortos,1,2,nincs,3 m-nél magasabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,42 900  Ft/hó,külön és egyben is,|nincs megadva|,kertre néz,8 m|2|,|nincs megadva|,|nincs megadva|,udvari beálló - benne van az árban,,gázkazán,van - 8 cm,|nincs megadva|,
68.3,"III. kerület, Őrlő utca ",73.0,2.0,1.0,4.0,jó állapotú,1981 és 2000 között,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,nincs,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,30 000  Ft/hó,11 000  Ft/hó,külön helyiségben,délnyugat,utcai,4 m|2|,nem,nem tetőtéri,"utca, közterület",,házközponti egyedi méréssel,nincs,|nincs megadva|,nem vett részt
45.0,"III. kerület, Kórház utca ",48.0,2.0,0,4.0,felújított,1981 és 2000 között,összkomfortos,2,10,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,22 000  Ft/hó,10 500  Ft/hó,külön helyiségben,délnyugat,utcai,4 m|2|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",,"távfűtés, házközponti",|nincs megadva|,|nincs megadva|,|nincs megadva|
41.9,"III. kerület, Bécsi út 221.",48.0,2.0,0,4.0,jó állapotú,|nincs megadva|,|nincs megadva|,6,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,10 200  Ft/hó,külön helyiségben,kelet,kertre néz,4 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,|nincs megadva|
134.9,"I. kerület, Jégverem utca ",55.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,
100.0,"II. kerület, Gazda utca 72-74.",70.0,2.0,0,15.0,befejezetlen,,|nincs megadva|,földszint,2,nincs,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,udvari,15 m|2|,igen,nem tetőtéri,udvari beálló - benne van az árban,,gázkazán,van - 20 cm,AA++,
109.0,"I. kerület, Attila út 33.",78.0,3.0,0,3.5,felújított,1950 előtt,összkomfortos,2,5,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,24 500  Ft/hó,egy helyiségben,délkelet,panorámás,3.5 m|2|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,távfűtés,nincs,|nincs megadva|,
119.0,"I. kerület, Úri utca ",52.0,1.0,2.0,,felújított,1950 és 1980 között,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,panorámás,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,távfűtés,|nincs megadva|,|nincs megadva|,
74.2,"III. kerület, Pünkösdfürdő utca ",64.0,3.0,0,11.62,új építésű,2023,duplakomfortos,3,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,udvari,11.62 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
70.9,"III. kerület, Pünkösdfürdő utca ",56.0,3.0,0,11.16,új építésű,2023,duplakomfortos,5,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,udvari,11.16 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
65.7,"III. kerület, Pünkösdfürdő utca ",49.0,2.0,0,6.0,új építésű,2023,duplakomfortos,6,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,utcai,6 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
31.9,"III. kerület, Ágoston utca 18.",32.0,1.0,0,5.0,jó állapotú,|nincs megadva|,összkomfortos,10 felett,több mint 10,van,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,5 m|2|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,távfűtés,|nincs megadva|,|nincs megadva|,|nincs megadva|
159.6,"III. kerület, Római part ",78.0,3.0,0,12.0,új építésű,2022,összkomfortos,3,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,kelet,panorámás,12 m|2|,nem,nem tetőtéri,udvari beálló - megvásárolható,6 M Ft,"gázkazán, hőszivattyú, hűtő-fűtő klíma",van - 20 cm,|nincs megadva|,
55.5,"III. kerület, Kalap utca ",51.0,2.0,0,4.5,jó állapotú,1950 és 1980 között,összkomfortos,1,4,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 000  Ft/hó,külön helyiségben,|nincs megadva|,utcai,4.5 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,
55.9,"II. kerület, Budakeszi út ",53.0,1.0,1.0,9.0,jó állapotú,1981 és 2000 között,összkomfortos,6,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,10  Ft/hó,egy helyiségben,délnyugat,panorámás,9 m|2|,nem,,udvari beálló - benne van az árban,,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
75.0,"II. kerület, Lajos utca ",75.0,3.0,0,5.0,felújított,1950 és 1980 között,összkomfortos,5,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,156 kWh/hó,|nincs megadva|,21 150  Ft/hó,külön helyiségben,délkelet,kertre néz,5 m|2|,nem,,udvari beálló,,távfűtés,nincs,DD,
50.0,"III. kerület, Vízimolnár utca ",49.0,2.0,0,4.0,felújított,1981 és 2000 között,összkomfortos,7,10,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 500  Ft/hó,külön helyiségben,kelet,panorámás,4 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület - ingyenes",,"házközponti, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,|nincs megadva|
46.5,"III. kerület, Pünkösdfürdő utca 38.",34.0,2.0,0,5.6,felújított,2016,összkomfortos,2,10,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,7 000  Ft/hó,20 975  Ft/hó,külön helyiségben,|nincs megadva|,utcai,5.6 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",,házközponti egyedi méréssel,van,|nincs megadva|,
78.9,"III. kerület, Pünkösdfürdő utca ",64.0,3.0,0,11.72,új építésű,2023,duplakomfortos,6,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,udvari,11.72 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
153.81,"III. kerület, Törökkő ",104.0,4.0,0,50.0,új építésű,2023,duplakomfortos,2,3,|nincs megadva|,3 m-nél alacsonyabb,van,nem,Nincs gáz bekötve az ingatlanba,150 kWh/hó,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,kertre néz,50 m|2|,nem,zárószint,teremgarázs hely - kötelező megvenni,6 M Ft,"hőszivattyú, padlófűtés",van - 12 cm,AA,
66.0,"III. kerület, Pünkösdfürdő utca ",49.0,2.0,0,6.0,új építésű,2023,duplakomfortos,8,9,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,utcai,6 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"5,50 M Ft",házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
136.8,"III. kerület, Római part ",67.0,2.0,0,10.0,új építésű,2022,összkomfortos,2,8,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,panorámás,10 m|2|,|nincs megadva|,nem tetőtéri,udvari beálló - megvásárolható,"6,40 M Ft","gázkazán, padlófűtés, hűtő-fűtő klíma",van - 20 cm,|nincs megadva|,
36.6,"III. kerület, Békásmegyeri lakótelep hegy felől ",57.0,1.0,2.0,1.0,közepes állapotú,1981 és 2000 között,összkomfortos,9,10,van,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,15 kWh/hó,35 000  Ft/hó,|nincs megadva|,|nincs megadva|,délnyugat,panorámás,1 m|2|,nem,nem tetőtéri,"utca, közterület",,távfűtés,|nincs megadva|,|nincs megadva|,|nincs megadva|
169.0,"II. kerület, Hidegkúti út ",148.0,4.0,1.0,12.0,új építésű,2023,duplakomfortos,|nincs megadva|,3,|nincs megadva|,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,kertre néz,12 m|2|,|nincs megadva|,|nincs megadva|,önálló garázs - benne van az árban,,hőszivattyú,van - 15 cm,|nincs megadva|,
37.0,"III. kerület, Békásmegyeri lakótelep Duna felől ",50.0,2.0,0,,újszerű,1950 és 1980 között,összkomfortos,6,10,van,3 m-nél alacsonyabb,|nincs megadva|,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,30 000  Ft/hó,|nincs megadva|,|nincs megadva|,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",,távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,|nincs megadva|
299.0,"II. kerület, Újlak ",180.0,4.0,1.0,18.0,új építésű,2023,luxus,földszint,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,kelet,kertre néz,18 m|2|,igen,nem tetőtéri,önálló garázs - benne van az árban,,"hőszivattyú, padlófűtés, mennyezeti hűtés-fűtés",van - 20 cm,AA+,
329.0,"II. kerület, Újlak ",153.0,5.0,1.0,34.0,új építésű,2023,luxus,1,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,kelet,panorámás,34 m|2|,nem,penthouse,teremgarázs hely - benne van az árban,,"hőszivattyú, padlófűtés, mennyezeti hűtés-fűtés",van - 20 cm,AA+,
329.0,"II. kerület, Kilátás utca ",153.0,4.0,0,34.0,új építésű,2023,luxus,földszint,2,|nincs megadva|,3 m-nél alacsonyabb,nincs,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délkelet,panorámás,34 m|2|,nem,|nincs megadva|,önálló garázs,,mennyezeti hűtés-fűtés,van - 20 cm,AA+,
299.0,"II. kerület, Kilátás utca ",180.0,4.0,0,17.0,új építésű,2023,luxus,földszint,2,|nincs megadva|,3 m-nél alacsonyabb,nincs,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délkelet,panorámás,17 m|2|,nem,|nincs megadva|,önálló garázs,,mennyezeti hűtés-fűtés,van - 20 cm,AA+,
137.98,"III. kerület, Pusztakúti út 12.",84.0,3.0,0,68.0,új építésű,2022,duplakomfortos,1,3,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,kertre néz,68 m|2|,igen,|nincs megadva|,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van - 15 cm,BB,
79.0,"II. kerület, Szépvölgyi út ",76.0,3.0,0,23.0,felújítandó,1950 és 1980 között,összkomfortos,1,2,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északnyugat,utcai,23 m|2|,nem,"legfelső emelet, nem tetőtéri",önálló garázs - kötelező megvenni,11 M Ft,gázkazán,|nincs megadva|,|nincs megadva|,
79.9,"III. kerület, Folyamőr utca ",45.0,2.0,0,18.0,új építésű,2022,|nincs megadva|,7,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,igen,Nincs gáz bekötve az ingatlanba,75 kWh/hó,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,panorámás,18 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,|nincs megadva|,mennyezeti hűtés-fűtés,van - 20 cm,AA+,
89.9,"II. kerület, Zöldmál ",78.0,3.0,0,11.0,felújítandó,1981 és 2000 között,összkomfortos,félemelet,2,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,kertre néz,11 m|2|,igen,nem tetőtéri,teremgarázs hely - benne van az árban,,gázkazán,van,|nincs megadva|,
182.92,"III. kerület, Waterfront City lakópark ",87.0,3.0,0,111.0,újszerű,2022,luxus,9,9,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,50 500  Ft/hó,36 651  Ft/hó,külön helyiségben,délkelet,panorámás,111 m|2|,|nincs megadva|,"legfelső emelet, nem tetőtéri",teremgarázs hely - kötelező megvenni,50 E €,mennyezeti hűtés-fűtés,|nincs megadva|,|nincs megadva|,
40.0,"III. kerület, Óbuda-Óváros ",33.0,1.0,0,,jó állapotú,1981 és 2000 között,|nincs megadva|,földszint,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,észak,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gáz (konvektor),|nincs megadva|,|nincs megadva|,
78.9,"II. kerület, Kurucles ",75.0,3.0,0,8.0,közepes állapotú,1950 és 1980 között,összkomfortos,3,3,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,külön helyiségben,délnyugat,panorámás,8 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",,gázkazán,van - 10 cm,|nincs megadva|,
96.0,"II. kerület, Lukács utca ",75.0,3.0,0,3.0,felújított,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,20 000  Ft/hó,külön helyiségben,északnyugat,utcai,3 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,
