price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Panelprogram
45.2,"III. kerület, Hímző utca ",66.0,3.0,0,közepes állapotú,|nincs megadva|,összkomfortos,4,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,18 678  Ft/hó,külön helyiségben,délnyugat,|nincs megadva|,4 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,4.0,nem vett részt
206.0,"II. kerület, Pasaréti út ",166.0,5.0,0,jó állapotú,1950 előtt,összkomfortos,1,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délnyugat,|nincs megadva|,|nincs megadva|,igen,nem tetőtéri,"utca, közterület",,"padlófűtés, gázkazán",|nincs megadva|,|nincs megadva|,,
110.0,"III. kerület, Vályog utca ",89.0,2.0,1.0,felújított,2001 és 2010 között,duplakomfortos,3,3,nincs,3 m-nél alacsonyabb,van,nem,66 m|3|/hó,340 kWh/hó,28 000  Ft/hó,20 700  Ft/hó,külön és egyben is,délkelet,kertre néz,10 m|2|,nem,"legfelső emelet, nem tetőtéri",önálló garázs - megvásárolható,10 M Ft,"padlófűtés, gázkazán",van,|nincs megadva|,10.0,
49.2,"III. kerület, Hévízi út ",54.0,2.0,0,közepes állapotú,1950 és 1980 között,összkomfortos,1,2,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,északkelet,utcai,2 m|2|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,2.0,
57.0,"III. kerület, Gulácsy Lajos utca ",73.0,3.0,0,felújított,|nincs megadva|,összkomfortos,1,4,nincs,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 620  Ft/hó,külön helyiségben,kelet,panorámás,3 m|2|,nem,nem tetőtéri,"utca, közterület - ingyenes",,távfűtés,nincs,|nincs megadva|,3.0,nem vett részt
78.0,"II. kerület, Zöldlomb utca ",52.0,1.0,1.0,felújított,1981 és 2000 között,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,150 kWh/hó,6 500  Ft/hó,33 660  Ft/hó,egy helyiségben,kelet,panorámás,5 m|2|,nem,,"utca, közterület - ingyenes",,házközponti egyedi méréssel,van,|nincs megadva|,5.0,
79.9,"III. kerület, Szépvölgyi út 57-61.",52.0,2.0,0,jó állapotú,2001 és 2010 között,összkomfortos,2,3,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,72 000  Ft/hó,külön helyiségben,nyugat,panorámás,16 m|2|,nem,nem tetőtéri,teremgarázs hely - kötelező megvenni,|nincs megadva|,házközponti,|nincs megadva|,|nincs megadva|,16.0,
74.9,"III. kerület, Viador utca ",65.0,2.0,1.0,felújított,1950 és 1980 között,összkomfortos,4,4,nincs,|nincs megadva|,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,16 500  Ft/hó,külön helyiségben,kelet,utcai,6 m|2|,nem,nem tetőtéri,"utca, közterület",,"gázkazán, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,6.0,
61.8,"III. kerület, Huszti út ",63.0,1.0,3.0,felújított,|nincs megadva|,összkomfortos,|nincs megadva|,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,14 000  Ft/hó,külön helyiségben,kelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,távfűtés,|nincs megadva|,|nincs megadva|,,nem vett részt
29.8,"II. kerület, Hárshegyi út 5-7.",18.0,1.0,0,jó állapotú,1950 és 1980 között,összkomfortos,7,több mint 10,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,20 000  Ft/hó,egy helyiségben,északkelet,panorámás,|nincs megadva|,nem,,udvari beálló - benne van az árban,,"házközponti, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,,
199.0,"III. kerület, Temes utca ",132.0,5.0,0,újszerű,|nincs megadva|,duplakomfortos,|nincs megadva|,2,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kertre néz,12 m|2|,igen,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,12.0,
94.9,"II. kerület, Margit körút 7.",82.0,3.0,0,újszerű,|nincs megadva|,összkomfortos,2,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,90 m|3|/hó,100 kWh/hó,10 000  Ft/hó,22 000  Ft/hó,egy helyiségben,nyugat,utcai,|nincs megadva|,nem,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,,
153.0,"II. kerület, Nagybányai út ",96.0,2.0,0,felújítandó,1950 előtt,összkomfortos,földszint,3,|nincs megadva|,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,18  Ft/hó,egy helyiségben,délnyugat,panorámás,15 m|2|,igen,|nincs megadva|,|nincs megadva|,,"gázkazán, cserépkályha",|nincs megadva|,|nincs megadva|,15.0,
39.9,"III. kerület, Hímző utca ",49.0,2.0,0,közepes állapotú,1950 és 1980 között,összkomfortos,8,10,van,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,9 163  Ft/hó,külön helyiségben,nyugat,panorámás,4 m|2|,nem,nem tetőtéri,"utca, közterület",,házközponti egyedi méréssel,nincs,|nincs megadva|,4.0,nem vett részt
39.9,"III. kerület, Solymár utca ",50.0,2.0,0,jó állapotú,|nincs megadva|,összkomfortos,2,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,14 000  Ft/hó,külön helyiségben,|nincs megadva|,kertre néz,4 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,4.0,|nincs megadva|
88.0,"II. kerület, Zöldlomb utca ",73.0,3.0,0,újszerű,|nincs megadva|,összkomfortos,félemelet,2,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,|nincs megadva|,9 m|2|,igen,nem tetőtéri,önálló garázs,,gázkazán,van,|nincs megadva|,9.0,
28.9,"III. kerület, Kiscelli utca ",24.0,1.0,0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
65.9,"III. kerület, Malomkerék utca ",67.0,2.0,2.0,jó állapotú,1981 és 2000 között,összkomfortos,3,3,nincs,|nincs megadva|,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,kertre néz,3 m|2|,|nincs megadva|,"legfelső emelet, nem tetőtéri","utca, közterület - ingyenes",,"távfűtés, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,3.0,|nincs megadva|
42.5,"III. kerület, Zsirai Miklós utca ",51.0,2.0,0,felújított,|nincs megadva|,összkomfortos,5,10,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",,távfűtés,|nincs megadva|,|nincs megadva|,,|nincs megadva|
154.9,"II. kerület, Bimbó út 88.",75.0,4.0,0,felújított,1950 és 1980 között,|nincs megadva|,2,3,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,panorámás,12 m|2|,|nincs megadva|,nem tetőtéri,önálló garázs - kötelező megvenni,10 M Ft,"gázkazán, hűtő-fűtő klíma",van,|nincs megadva|,12.0,
89.9,"II. kerület, Kapy utca ",57.0,2.0,0,felújított,1950 és 1980 között,|nincs megadva|,1,3,nincs,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,külön helyiségben,délnyugat,panorámás,8 m|2|,igen,nem tetőtéri,"utca, közterület - ingyenes",,"gáz (konvektor), elektromos fűtőpanel",|nincs megadva|,|nincs megadva|,8.0,
43.0,"III. kerület, Zápor utca ",52.0,2.0,0,|nincs megadva|,|nincs megadva|,összkomfortos,8,10,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,26 000  Ft/hó,9 100  Ft/hó,külön helyiségben,kelet,kertre néz,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",,távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,,|nincs megadva|
68.9,"III. kerület, Fanyarka utca ",42.0,2.0,0,újszerű,|nincs megadva|,|nincs megadva|,2,4,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 m|2|,|nincs megadva|,|nincs megadva|,udvari beálló,,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,8.0,
45.0,"II. kerület, Forint utca ",30.0,1.0,0,jó állapotú,1950 előtt,összkomfortos,4,5,van,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,50 kWh/hó,12 000  Ft/hó,10 000  Ft/hó,külön helyiségben,északkelet,panorámás,|nincs megadva|,nem,zárószint,"utca, közterület - fizetős övezet",,gázkazán,van - 5 cm,|nincs megadva|,,
43.9,"III. kerület, Pünkösdfürdő utca 42.",30.0,1.0,0,befejezetlen,,duplakomfortos,1,9,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,délnyugat,utcai,5 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",,hőszivattyú,van - 15 cm,BB,5.0,
