price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Panelprogram,Parkolóhely ára,Energetikai tanúsítvány
31.9,"VIII. kerület, Illés utca 16.",35.0,1.0,1.0,jó állapotú,|nincs megadva|,|nincs megadva|,1,4,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,12 000  Ft/hó,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
83.5,"VIII. kerület, Józsefváros - Palotanegyed ",95.0,2.0,0,közepes állapotú,1950 előtt,összkomfortos,3,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,24 000  Ft/hó,|nincs megadva|,|nincs megadva|,északnyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
99.0,"VIII. kerület, Józsefváros - Palotanegyed ",110.0,3.0,0,jó állapotú,1950 előtt,összkomfortos,1,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,|nincs megadva|,|nincs megadva|,kelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,,,,,|nincs megadva|
59.9,"VIII. kerület, Józsefváros - Palotanegyed ",73.0,2.0,0,felújítandó,1950 előtt,összkomfortos,1,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,32 000  Ft/hó,|nincs megadva|,|nincs megadva|,nyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
24.0,"VIII. kerület, Sárkány utca ",25.0,1.0,0,felújított,1950 előtt,|nincs megadva|,földszint,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,egyéb,|nincs megadva|,,,,,|nincs megadva|
39.99,"VIII. kerület, Baross utca ",44.0,1.0,0,felújítandó,|nincs megadva|,összkomfortos,földszint,4,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,nem,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,igen,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,nincs,,,,,|nincs megadva|
149.0,"VIII. kerület, Szentkirályi utca ",123.0,4.0,0,jó állapotú,|nincs megadva|,komfortos,3,3,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,kertre néz,|nincs megadva|,nem,|nincs megadva|,"utca, közterület",|nincs megadva|,van,,,,,|nincs megadva|
38.0,"VIII. kerület, Mátyás tér ",32.0,1.0,0,jó állapotú,2014,összkomfortos,1,6,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 000  Ft/hó,|nincs megadva|,egy helyiségben,délnyugat,panorámás,|nincs megadva|,|nincs megadva|,,|nincs megadva|,házközponti egyedi méréssel,van,,,,,|nincs megadva|
24.5,"VIII. kerület, Józsefváros - Orczynegyed ",29.0,1.0,0,jó állapotú,1950 és 1980 között,összkomfortos,2,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 600  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
31.99,"VIII. kerület, Józsefváros - Magdolnanegyed ",34.0,1.0,0,jó állapotú,1950 előtt,összkomfortos,1,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 000  Ft/hó,|nincs megadva|,|nincs megadva|,dél,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
225.0,"VIII. kerület, Tolnai Lajos utca ",106.0,4.0,0,|nincs megadva|,2022,duplakomfortos,6,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,|nincs megadva|,|nincs megadva|,délnyugat,panorámás,146.37 m|2|,nem,"legfelső emelet, nem tetőtéri",teremgarázs hely - megvásárolható,"hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés",|nincs megadva|,,146.37,,5 M Ft,AA++
196.0,"VIII. kerület, Tolnai Lajos utca ",93.0,4.0,0,|nincs megadva|,2022,duplakomfortos,6,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,35 000  Ft/hó,|nincs megadva|,|nincs megadva|,délkelet,panorámás,154.62 m|2|,nem,"legfelső emelet, nem tetőtéri",teremgarázs hely - megvásárolható,"mennyezeti hűtés-fűtés, hőszivattyú, padlófűtés",|nincs megadva|,,154.62,,5 M Ft,AA++
199.0,"VIII. kerület, Tolnai Lajos utca ",96.0,4.0,0,|nincs megadva|,2022,duplakomfortos,6,7,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,36 000  Ft/hó,|nincs megadva|,|nincs megadva|,délnyugat,panorámás,150.87 m|2|,nem,"legfelső emelet, nem tetőtéri",teremgarázs hely - megvásárolható,"hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés",|nincs megadva|,,150.87,,5 M Ft,AA++
41.5,"VIII. kerület, Fecske utca ",56.0,2.0,0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,2 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,2.0,,,|nincs megadva|
28.0,"VIII. kerület, Visi Imre utca ",30.0,1.0,0,felújított,1950 előtt,összkomfortos,földszint,3,|nincs megadva|,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,12 000  Ft/hó,nem,egy helyiségben,délkelet,udvari,|nincs megadva|,nem,|nincs megadva|,"utca, közterület",hőszivattyú,|nincs megadva|,,,,,|nincs megadva|
16.0,"VIII. kerület, Práter utca 65.",13.0,1.0,0,felújított,1950 előtt,összkomfortos,szuterén,5,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,6 000  Ft/hó,nem,egy helyiségben,kelet,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - ingyenes",elektromos fűtőpanel,nincs,,,,,EE
20.0,"VIII. kerület, Práter utca 65.",21.0,1.0,0,felújított,1950 előtt,összkomfortos,szuterén,5,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,7 000  Ft/hó,nem,egy helyiségben,kelet,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",elektromos fűtőpanel,nincs,,,,,FF
23.0,"VIII. kerület, Práter utca 65.",25.0,1.0,0,felújított,1950 előtt,összkomfortos,szuterén,5,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,7 500  Ft/hó,nem,egy helyiségben,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",elektromos fűtőpanel,nincs,,,,,FF
21.0,"VIII. kerület, Práter utca 65.",21.0,1.0,0,felújított,1950 előtt,összkomfortos,szuterén,5,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,7 000  Ft/hó,nem,egy helyiségben,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",elektromos fűtőpanel,nincs,,,,,FF
19.0,"VIII. kerület, Práter utca 65.",19.0,1.0,0,felújított,1950 előtt,összkomfortos,szuterén,5,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,6 000  Ft/hó,nem,egy helyiségben,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",elektromos fűtőpanel,nincs,,,,,EE
34.9,"VIII. kerület, Józsefváros - Magdolnanegyed ",57.0,2.0,0,jó állapotú,1950 és 1980 között,|nincs megadva|,földszint,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,,,,,|nincs megadva|
30.5,"VIII. kerület, Nagy Fuvaros utca ",31.0,1.0,0,|nincs megadva|,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,északnyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
34.8,"VIII. kerület, Bezerédj utca ",43.0,1.0,0,felújítandó,1950 előtt,összkomfortos,2,3,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 000  Ft/hó,11 000  Ft/hó,|nincs megadva|,egy helyiségben,délnyugat,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
31.99,"VIII. kerület, Józsefváros - Magdolnanegyed ",34.0,1.0,0,jó állapotú,1950 előtt,összkomfortos,1,3,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,dél,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gáz (konvektor),|nincs megadva|,,,,,|nincs megadva|
34.9,"VIII. kerület, Józsefváros - Magdolnanegyed ",57.0,2.0,0,jó állapotú,1950 és 1980 között,összkomfortos,földszint,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,,,,,|nincs megadva|
40.0,"VIII. kerület, Szilágyi utca ",54.0,2.0,0,felújított,1950 előtt,komfortos,földszint,3,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,délkelet,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",gázkazán,|nincs megadva|,,,,,|nincs megadva|
